"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 16 19:40:10 PET 2021","Tue Nov 16 19:40:33 PET 2021","22661","","com.ridus.amazon.tests.ItemsFromCartTest","","com.ridus.amazon.tests.ItemsFromCartTest","checkingNewTotalPriceAndQuantityFromCartPage","checkingNewTotalPriceAndQuantityFromCartPage()","Reduce the quantity from 2 to 1 in Cart for the item selected"
"passed","Tue Nov 16 19:39:59 PET 2021","Tue Nov 16 19:40:10 PET 2021","11847","","com.ridus.amazon.tests.ItemsFromCartTest","","com.ridus.amazon.tests.ItemsFromCartTest","checkingTotalPriceAndQuantityFromCartPage","checkingTotalPriceAndQuantityFromCartPage()","Open cart and assert that the total price and quantity are correct"
